Q0045	1	534	1	511	100	-600.975	gi|8216967|emb|CAB91052.2|	7227	Drosophila melanogaster
Q0045	1	534	1	511	100	-600.975	gi|8573394|gb|AAF77245.1|	7227	Drosophila melanogaster
Q0045	2	534	1	510	99.8	-600.975	gi|903727|gb|AAB59239.1|	7227	Drosophila melanogaster
Q0045	3	534	2	510	99.6	-600.975	gi|5835235|ref|NP_008278.1|COX1_10704	7227	Drosophila melanogaster
Q0065	1	531	1	493	97.6	-600.975	gi|8216967|emb|CAB91052.2|	7227	Drosophila melanogaster
Q0065	2	531	1	492	97.4	-600.975	gi|903727|gb|AAB59239.1|	7227	Drosophila melanogaster
Q0065	3	531	2	492	97.2	-600.975	gi|5835235|ref|NP_008278.1|COX1_10704	7227	Drosophila melanogaster
Q0070	1	327	1	326	51.9	-600.975	gi|336832|gb|AAB02282.1|	7227	Drosophila melanogaster
Q0070	1	327	1	326	51.9	-600.975	gi|8216967|emb|CAB91052.2|	7227	Drosophila melanogaster
Q0070	1	327	1	326	51.9	-600.975	gi|8573394|gb|AAF77245.1|	7227	Drosophila melanogaster
Q0070	2	327	1	325	51.7	-600.975	gi|903727|gb|AAB59239.1|	7227	Drosophila melanogaster
Q0070	3	327	2	325	51.6	-600.975	gi|5835235|ref|NP_008278.1|COX1_10704	7227	Drosophila melanogaster
Q0130	6	75	68	137	92.1	-33.44	gi|24651601|ref|NP_733422.1|	7227	Drosophila melanogaster
YAL001C	11	418	10	442	35.2	-5.298	gi|20129503|ref|NP_609648.1|	7227	Drosophila melanogaster
YAL002W	25	1267	55	1191	97.6	-600.975	gi|24659383|ref|NP_648048.1|	7227	Drosophila melanogaster
YAL002W	60	459	14	400	31.4	-8.112	gi|30923556|gb|EAA46034.1|	7227	Drosophila melanogaster
YAL002W	60	459	14	400	31.4	-8.112	gi|3320406|gb|AAC26488.1|	7227	Drosophila melanogaster
YAL002W	764	1253	422	869	38.5	-69.588	gi|16768006|gb|AAL28222.1|	7227	Drosophila melanogaster
YAL002W	768	1266	115	520	39.2	-95.61	gi|21392126|gb|AAM48417.1|	7227	Drosophila melanogaster
YAL002W	768	1266	391	796	39.2	-98.318	gi|30923557|gb|EAA46035.1|	7227	Drosophila melanogaster
YAL002W	768	1266	428	833	39.2	-98.318	gi|30923556|gb|EAA46034.1|	7227	Drosophila melanogaster
YAL002W	768	1266	428	833	39.2	-99.011	gi|3320406|gb|AAC26488.1|	7227	Drosophila melanogaster
