YGR225W	216	553	249	551	60.1	-58.481	YGL116W	4932	Saccharomyces cerevisiae
YEL054C	1	150	1	150	90.9	-151.277	YDR418W	4932	Saccharomyces cerevisiae
YEL054C	1	150	1	150	90.9	-151.277	YEL054C	4932	Saccharomyces cerevisiae
YPR029C	343	668	319	669	39.2	-13.122	YPL195W	4932	Saccharomyces cerevisiae
YGL208W	161	413	159	417	61	-202.984	YER027C	4932	Saccharomyces cerevisiae
YNR034W	1	314	1	310	97.8	-303.941	YCR073W-A	4932	Saccharomyces cerevisiae
YMR237W	1	723	1	745	99.9	-600.975	YOR299W	4932	Saccharomyces cerevisiae
YCR048W	1	610	1	642	100	-333.875	YNR019W	4932	Saccharomyces cerevisiae
YGR066C	77	292	121	362	74	-64.829	YBR105C	4932	Saccharomyces cerevisiae
YGL049C	106	914	95	952	88.5	-382.229	YGR162W	4932	Saccharomyces cerevisiae
YOL083W	14	412	20	415	96.8	-86.112	YOL082W	4932	Saccharomyces cerevisiae
YDL191W	1	120	1	120	100	-56.871	YDL136W	4932	Saccharomyces cerevisiae
YDL191W	1	120	1	120	100	-56.871	YDL191W	4932	Saccharomyces cerevisiae
YMR078C	113	363	295	521	33.9	-26.532	YOR217W	4932	Saccharomyces cerevisiae
YAL037W	17	236	14	259	82.4	-10.82	YOR342C	4932	Saccharomyces cerevisiae
YIL138C	1	161	1	199	100	-27.631	YNL079C	4932	Saccharomyces cerevisiae
YLR157C-A	1	435	1	435	98.9	-600.975	YDR365W-B	4932	Saccharomyces cerevisiae
YLR157C-B	1	1755	1	1755	100	-600.975	YPL257W-B	4932	Saccharomyces cerevisiae
YLR157C-C	1	43	1	43	100	-22.333	YLR154C-H	4932	Saccharomyces cerevisiae
YLR157C-C	1	43	1	43	100	-22.333	YLR156C-A	4932	Saccharomyces cerevisiae
YLR157C-C	1	43	1	43	100	-22.333	YLR157C-C	4932	Saccharomyces cerevisiae
YLR157C-C	1	43	1	43	100	-22.333	YLR159C-A	4932	Saccharomyces cerevisiae
YLL024C	1	607	1	607	95	-600.975	YAL005C	4932	Saccharomyces cerevisiae
YOR327C	21	115	22	116	82.6	-56.466	YAL030W	4932	Saccharomyces cerevisiae
YGL209W	8	95	8	96	23	-49.271	YER028C	4932	Saccharomyces cerevisiae
YDR435C	5	326	27	348	98.2	-31.543	YOL141W	4932	Saccharomyces cerevisiae
YKL161C	1	364	1	364	84.1	-292.428	YHR030C	4932	Saccharomyces cerevisiae
YOR167C	1	67	1	67	100	-41.957	YLR264W	4932	Saccharomyces cerevisiae
YHR024C	2	437	9	452	90.5	-76.902	YLR163C	4932	Saccharomyces cerevisiae
YHR198C	69	320	61	309	78.5	-93.02	YHR199C	4932	Saccharomyces cerevisiae
YMR172W	617	715	278	374	13.8	-17.322	YOL116W	4932	Saccharomyces cerevisiae
YHL007C	337	867	184	821	56.5	-184.312	YNL298W	4932	Saccharomyces cerevisiae
YKR084C	167	611	7	441	72.8	-120.938	YPR080W	4932	Saccharomyces cerevisiae
YMR238W	24	458	19	449	95	-294.731	YKL046C	4932	Saccharomyces cerevisiae
YGL144C	7	661	8	647	95.6	-370.716	YDL109C	4932	Saccharomyces cerevisiae
YLR375W	5	343	123	490	98.8	-169.698	YDL048C	4932	Saccharomyces cerevisiae
YBR186W	313	477	527	667	29.3	-15.425	YDL126C	4932	Saccharomyces cerevisiae
YGR067C	6	59	102	155	6.8	-12.429	YDR216W	4932	Saccharomyces cerevisiae
YER072W	7	120	605	718	88.4	-29.24	YJL012C	4932	Saccharomyces cerevisiae
YHR005C-A	12	84	12	85	78.5	-9.721	YBR091C	4932	Saccharomyces cerevisiae
YLR107W	233	393	215	377	39.9	-41.67	YGR276C	4932	Saccharomyces cerevisiae
YOL084W	11	985	24	914	98.4	-287.823	YMR266W	4932	Saccharomyces cerevisiae
YDL192W	1	181	1	181	100	-216.8	YDL137W	4932	Saccharomyces cerevisiae
